
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1A:1E:87:02:C4, 2013-05-01 17:37:23, 2013-05-01 17:42:42,  6,  54, OPN ,       ,   , -95,        7,        0,   0.  0.  0.  0,  11, drexelguest, 
00:1A:1E:86:41:81, 2013-05-01 17:39:31, 2013-05-01 17:42:11, 108,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1A:1E:85:A3:64, 2013-05-01 17:38:01, 2013-05-01 17:42:01,  1,  54, OPN ,       ,   , -95,       15,        0,   0.  0.  0.  0,  11, drexelguest, 
9C:4E:20:C0:87:08, 2013-05-01 17:37:05, 2013-05-01 17:39:12, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C8:D7:19:69:6E:94, 2013-05-01 17:36:45, 2013-05-01 17:38:50,  1,  54, OPN ,       ,   , -95,        1,        1,   0.  0.  0.  0,  15, PsychWard-guest, 
00:1A:1E:86:4C:A0, 2013-05-01 17:36:50, 2013-05-01 17:43:26, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D8:C7:C8:D2:DF:80, 2013-05-01 17:36:22, 2013-05-01 17:36:23, 158,  -1, OPN ,       ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
50:A7:33:03:5A:38, 2013-05-01 17:37:08, 2013-05-01 17:37:14, 158,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1A:1E:8E:E2:A4, 2013-05-01 17:36:36, 2013-05-01 17:38:35,  6,  54, OPN ,       ,   , -98,        1,        0,   0.  0.  0.  0,  11, drexelguest, 
00:1A:1E:98:27:C4, 2013-05-01 17:40:05, 2013-05-01 17:40:05, 158,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
02:F4:DF:B6:0E:0D, 2013-05-01 17:38:35, 2013-05-01 17:40:25, 11,  11, OPN ,       ,   ,  -1,        2,        0,   0.  0.  0.  0,  19, print server 65D0D5, 
00:1A:1E:93:DB:81, 2013-05-01 17:40:43, 2013-05-01 17:40:49, 108,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
02:20:C0:7F:68:7E, 2013-05-01 17:37:29, 2013-05-01 17:41:18,  6,  54, OPN ,       ,   ,  -1,        2,        0,   0.  0.  0.  0,  17, HP-nomodel.2B68BE, 
02:21:B1:FC:22:FC, 2013-05-01 17:36:54, 2013-05-01 17:41:38,  6,  54, OPN ,       ,   ,  -1,        1,        0,   0.  0.  0.  0,  14, HPJ610a.FC4C32, 
C0:C1:C0:84:BF:1F, 2013-05-01 17:35:56, 2013-05-01 17:42:07,  6,  54, OPN ,       ,   , -94,       16,        0,   0.  0.  0.  0,  12, kitkat-guest, 
C8:D7:19:7C:16:F0, 2013-05-01 17:36:19, 2013-05-01 17:42:45, 11,  54, OPN ,       ,   , -95,       22,        1,   0.  0.  0.  0,  23, UnderCover_CopCar-guest, 
00:1A:1E:98:2F:E3, 2013-05-01 17:36:01, 2013-05-01 17:42:57,  1,  54, OPN ,       ,   , -93,       47,       27,  10.253.140.223,  11, drexelguest, 
00:1A:1E:8E:E4:24, 2013-05-01 17:39:07, 2013-05-01 17:43:23,  1,  54, OPN ,       ,   , -94,       10,        0,   0.  0.  0.  0,  11, drexelguest, 
00:1A:1E:8E:D6:04, 2013-05-01 17:36:19, 2013-05-01 17:43:08, 11,  54, OPN ,       ,   , -94,       42,        0,   0.  0.  0.  0,  11, drexelguest, 
00:1A:1E:86:92:C2, 2013-05-01 17:36:04, 2013-05-01 17:43:19, 11,  54, OPN ,       ,   , -94,       74,       38,  10.253.128. 94,  11, drexelguest, 
00:1A:1E:8E:D8:A4, 2013-05-01 17:35:55, 2013-05-01 17:43:28, 11,  54, OPN ,       ,   , -88,      261,       64,  10.253.144. 66,  11, drexelguest, 
00:1A:1E:8E:E2:04, 2013-05-01 17:35:55, 2013-05-01 17:43:29,  1,  54, OPN ,       ,   , -90,      199,        0,   0.  0.  0.  0,  11, drexelguest, 
00:1A:1E:85:A1:64, 2013-05-01 17:35:56, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -90,      372,      100,  10.253.142.208,  11, drexelguest, 
00:0D:67:14:A2:9C, 2013-05-01 17:35:56, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -82,       94,        0,   0.  0.  0.  0,  11, optimumwifi, 
00:0D:67:14:A2:9A, 2013-05-01 17:35:56, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -81,      157,        0,   0.  0.  0.  0,  11, xfinitywifi, 
00:0D:67:14:A2:9B, 2013-05-01 17:35:57, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -81,      175,        0,   0.  0.  0.  0,   9, CableWiFi, 
58:6D:8F:64:B0:86, 2013-05-01 17:35:55, 2013-05-01 17:43:29,  1,  54, OPN ,       ,   , -80,      295,        2,   0.  0.  0.  0,  17, Brown Sugar-guest, 
00:0D:67:14:A2:9D, 2013-05-01 17:35:56, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -81,      172,        0,   0.  0.  0.  0,   7, TWCWiFi, 
00:0D:67:14:AB:98, 2013-05-01 17:35:58, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -79,      103,        0,   0.  0.  0.  0,  11, optimumwifi, 
00:1A:1E:8C:6D:02, 2013-05-01 17:35:55, 2013-05-01 17:43:29,  1,  54, OPN ,       ,   , -79,      366,       31,  10.253.137.243,  11, drexelguest, 
00:0D:67:14:AB:99, 2013-05-01 17:35:56, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -79,      251,        0,   0.  0.  0.  0,   7, TWCWiFi, 
00:0D:67:14:AB:96, 2013-05-01 17:35:56, 2013-05-01 17:43:23,  6,  54, OPN ,       ,   , -79,      283,        3,   0.  0.  0.  0,  11, xfinitywifi, 
00:0D:67:14:AB:97, 2013-05-01 17:35:57, 2013-05-01 17:43:28,  6,  54, OPN ,       ,   , -80,      267,       49,  50.146.202.114,   9, CableWiFi, 
00:1A:1E:8E:D8:44, 2013-05-01 17:35:55, 2013-05-01 17:43:29,  6,  54, OPN ,       ,   , -78,      600,      205,  10.253.145. 92,  11, drexelguest, 
00:1A:1E:8E:D4:C4, 2013-05-01 17:35:54, 2013-05-01 17:43:29,  1,  54, OPN ,       ,   , -68,      508,       16,  10.253.141.154,  11, drexelguest, 
00:0D:67:17:E3:E1, 2013-05-01 17:35:55, 2013-05-01 17:43:28, 11,  54, OPN ,       ,   , -53,      384,        0,   0.  0.  0.  0,  11, xfinitywifi, 
00:0D:67:17:E3:E2, 2013-05-01 17:35:55, 2013-05-01 17:43:28, 11,  54, OPN ,       ,   , -53,      371,        0,   0.  0.  0.  0,   9, CableWiFi, 
00:0D:67:17:E3:E4, 2013-05-01 17:35:55, 2013-05-01 17:43:28, 11,  54, OPN ,       ,   , -51,      382,        0,   0.  0.  0.  0,   7, TWCWiFi, 
00:0D:67:17:E3:E3, 2013-05-01 17:35:55, 2013-05-01 17:43:28, 11,  54, OPN ,       ,   , -55,      374,        0,   0.  0.  0.  0,  11, optimumwifi, 
7E:1F:E0:FA:0F:A4, 2013-05-01 17:35:56, 2013-05-01 17:43:19,  6,  54, OPN ,       ,   ,  -1,       41,        0,   0.  0.  0.  0,  14, HPB210a.244651, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
58:8D:09:CA:8B:1E, 2013-05-01 17:42:21, 2013-05-01 17:42:21,  -1,        4, 28:93:FE:F5:A8:00,
68:A8:6D:AB:21:8E, 2013-05-01 17:38:33, 2013-05-01 17:42:21,  -1,       10, 08:86:3B:E3:18:98,
F0:B4:79:22:5D:38, 2013-05-01 17:37:34, 2013-05-01 17:42:22, -81,       23, 00:1A:1E:8E:D8:40, dragonfly3
5C:96:9D:57:A6:31, 2013-05-01 17:42:01, 2013-05-01 17:42:23, -88,        6, (not associated) ,
74:E2:F5:8C:9C:61, 2013-05-01 17:42:24, 2013-05-01 17:42:24, -95,        1, (not associated) , dragonfly3
58:8D:09:CA:8A:F6, 2013-05-01 17:36:18, 2013-05-01 17:42:12,  -1,       25, 28:93:FE:F5:A8:00,
D4:20:6D:88:33:0E, 2013-05-01 17:42:13, 2013-05-01 17:42:13, -89,        2, (not associated) , dragonfly3
A0:0B:BA:21:FA:DD, 2013-05-01 17:42:04, 2013-05-01 17:42:04,  -1,        1, 00:1A:1E:86:92:C1,
1C:B0:94:77:24:E0, 2013-05-01 17:41:50, 2013-05-01 17:42:02,  -1,        6, 00:1A:1E:8C:6D:01,
68:09:27:2F:F8:F8, 2013-05-01 17:41:12, 2013-05-01 17:42:01,  -1,       16, 00:1A:1E:8C:6D:01,
18:E7:F4:03:B2:12, 2013-05-01 17:42:01, 2013-05-01 17:42:01, -90,        3, (not associated) , MARRIOTT-CONFERENCE,DM-Public,gamcon
F8:7B:7A:8F:1E:3A, 2013-05-01 17:40:05, 2013-05-01 17:42:04, -91,       38, 00:1A:1E:8C:6D:02, drexelguest
00:20:00:B2:D9:08, 2013-05-01 17:41:50, 2013-05-01 17:41:50,  -1,        1, 84:1B:5E:D9:03:6A,
7C:C5:37:19:C3:03, 2013-05-01 17:41:54, 2013-05-01 17:41:54, -79,        2, (not associated) ,
00:20:00:8A:ED:85, 2013-05-01 17:41:44, 2013-05-01 17:41:44,  -1,        1, EC:1A:59:25:A9:B8,
B8:FF:61:22:B0:42, 2013-05-01 17:41:41, 2013-05-01 17:41:41,  -1,        5, 00:1A:1E:86:92:C1,
D8:D1:CB:76:69:39, 2013-05-01 17:41:40, 2013-05-01 17:41:40, -93,        1, (not associated) , dragonfly3
08:ED:B9:CE:9E:E9, 2013-05-01 17:37:17, 2013-05-01 17:41:41, -94,        3, C0:C1:C0:84:BF:1E,
74:E1:B6:9D:A1:2A, 2013-05-01 17:40:23, 2013-05-01 17:41:43, -98,       38, 00:1A:1E:8C:6D:01, dragonfly3
98:0C:82:79:D7:BA, 2013-05-01 17:37:32, 2013-05-01 17:41:30, -78,       11, (not associated) , dragonfly3,drexelguest
24:AB:81:9E:57:72, 2013-05-01 17:37:32, 2013-05-01 17:41:32, -87,       22, 00:1A:1E:98:2F:E1, dragonfly3
64:A3:CB:4C:7C:FF, 2013-05-01 17:41:06, 2013-05-01 17:41:23,  -1,       13, 00:1A:1E:86:92:C1,
E0:06:E6:13:BC:53, 2013-05-01 17:36:19, 2013-05-01 17:41:23, -91,        7, EC:1A:59:25:A9:B8,
F0:B4:79:1E:9F:81, 2013-05-01 17:41:24, 2013-05-01 17:41:24, -94,        1, (not associated) , dragonfly3
68:09:27:1B:F2:1D, 2013-05-01 17:41:20, 2013-05-01 17:41:20, -95,       10, 00:1A:1E:86:92:C1,
20:02:AF:64:0C:36, 2013-05-01 17:36:19, 2013-05-01 17:41:14, -81,       25, (not associated) ,
64:A3:CB:4D:A4:EC, 2013-05-01 17:40:31, 2013-05-01 17:41:12, -91,       62, 00:1A:1E:86:92:C1, dragonfly3
40:25:C2:26:D4:E4, 2013-05-01 17:40:59, 2013-05-01 17:41:12, -91,       16, 00:1A:1E:8C:6D:01, dragonfly3
8C:A9:82:00:6E:C8, 2013-05-01 17:40:57, 2013-05-01 17:41:12, -95,        3, 00:1A:1E:8E:E2:A0,
60:36:DD:6E:87:DC, 2013-05-01 17:36:45, 2013-05-01 17:41:11, -95,       12, EC:1A:59:25:A9:B8, belkin.9b8
5C:0A:5B:10:88:75, 2013-05-01 17:41:04, 2013-05-01 17:41:12, -96,        2, (not associated) , eduroam
58:8D:09:CA:8B:C4, 2013-05-01 17:40:37, 2013-05-01 17:40:54,  -1,        8, 28:93:FE:F5:A8:00,
88:53:95:84:C4:91, 2013-05-01 17:40:50, 2013-05-01 17:40:50, -85,        2, (not associated) , dragonfly3
68:A8:6D:9D:7E:2D, 2013-05-01 17:40:47, 2013-05-01 17:40:52, -88,        4, (not associated) ,
C8:6F:1D:D4:D1:9B, 2013-05-01 17:39:55, 2013-05-01 17:40:54, -96,       52, 00:1A:1E:86:92:C1, dragonfly3
00:15:6D:56:1B:58, 2013-05-01 17:38:44, 2013-05-01 17:40:40, -91,       54, 28:93:FE:F5:A8:08,
D0:23:DB:03:9E:D7, 2013-05-01 17:40:43, 2013-05-01 17:40:43, -93,        4, 00:1A:1E:86:92:C1,
50:46:5D:10:3E:0F, 2013-05-01 17:37:40, 2013-05-01 17:40:40, -93,       26, 00:1A:1E:85:A1:60,
3C:D0:F8:7B:89:F2, 2013-05-01 17:40:21, 2013-05-01 17:40:43, -96,        2, 00:1A:1E:8C:6D:01,
6C:3E:6D:8E:59:9F, 2013-05-01 17:40:11, 2013-05-01 17:40:11,  -1,        4, 00:1A:1E:8C:6D:01,
F4:F1:5A:A5:55:91, 2013-05-01 17:40:11, 2013-05-01 17:40:11,  -1,        5, 00:1A:1E:8C:6D:01,
8C:70:5A:D4:85:F8, 2013-05-01 17:40:14, 2013-05-01 17:40:14, -92,        2, (not associated) , dragonfly3
F0:CB:A1:9B:C4:49, 2013-05-01 17:39:56, 2013-05-01 17:40:02, -89,        4, 00:1A:1E:86:92:C1,
90:18:7C:05:7A:8C, 2013-05-01 17:35:58, 2013-05-01 17:40:00, -91,      242, 00:1A:1E:8C:6D:01, dragonfly3
04:1E:64:D1:6C:61, 2013-05-01 17:39:39, 2013-05-01 17:39:54, -93,        7, 00:1A:1E:8E:E2:00,
00:15:6D:56:D7:47, 2013-05-01 17:39:39, 2013-05-01 17:39:42,  -1,        5, 28:93:FE:F5:A8:08,
D0:DF:C7:C0:D0:70, 2013-05-01 17:38:43, 2013-05-01 17:39:43, -97,       16, 00:1A:1E:8E:D4:C4, drexelguest
68:1C:A2:00:0F:35, 2013-05-01 17:39:30, 2013-05-01 17:39:30, -79,        1, (not associated) ,
B8:17:C2:49:67:8D, 2013-05-01 17:36:28, 2013-05-01 17:39:34, -88,       34, 00:1A:1E:8E:E2:00, dragonfly3
00:26:AB:16:6F:77, 2013-05-01 17:39:33, 2013-05-01 17:39:33, -97,        1, (not associated) ,
00:25:00:04:D4:F0, 2013-05-01 17:38:16, 2013-05-01 17:39:11,  -1,        3, 84:1B:5E:F4:56:16,
30:F7:C5:9D:8A:FC, 2013-05-01 17:39:13, 2013-05-01 17:39:14, -88,        4, (not associated) ,
88:53:2E:39:CD:DF, 2013-05-01 17:37:06, 2013-05-01 17:39:10, -90,        6, 00:1A:1E:86:92:C1, dragonfly3
5C:0A:5B:18:77:E9, 2013-05-01 17:39:13, 2013-05-01 17:39:13, -93,        3, 00:1A:1E:86:92:C1,
78:D6:F0:49:64:9D, 2013-05-01 17:38:13, 2013-05-01 17:39:04,  -1,        4, 00:1A:1E:86:92:C2,
B4:F0:AB:43:B9:FE, 2013-05-01 17:35:56, 2013-05-01 17:39:02, -83,       10, 00:1A:1E:8C:6D:01, dragonfly3
